Category: All categories

Day,bitcoin: (Worldwide)
2017-12-01,37
2017-12-02,29
2017-12-03,31
2017-12-04,34
2017-12-05,34
2017-12-06,47
2017-12-07,95
2017-12-08,84
2017-12-09,56
2017-12-10,54
2017-12-11,66
2017-12-12,60
2017-12-13,52
2017-12-14,44
2017-12-15,42
2017-12-16,43
2017-12-17,46
2017-12-18,49
2017-12-19,51
2017-12-20,65
2017-12-21,50
2017-12-22,100
2017-12-23,63
2017-12-24,44
2017-12-25,41
2017-12-26,40
2017-12-27,37
2017-12-28,38
2017-12-29,33
2017-12-30,33
2017-12-31,27
