Category: All categories

Day,bitcoin: (Worldwide)
2015-08-01,100
2015-08-02,79
2015-08-03,71
2015-08-04,71
2015-08-05,66
2015-08-06,59
2015-08-07,57
2015-08-08,60
2015-08-09,58
2015-08-10,58
2015-08-11,57
2015-08-12,60
2015-08-13,63
2015-08-14,55
2015-08-15,55
2015-08-16,61
2015-08-17,63
2015-08-18,70
2015-08-19,85
2015-08-20,72
2015-08-21,71
2015-08-22,64
2015-08-23,71
2015-08-24,82
2015-08-25,81
2015-08-26,70
2015-08-27,65
2015-08-28,61
2015-08-29,60
2015-08-30,60
2015-08-31,58
