Category: All categories

Day,bitcoin: (Worldwide)
2017-08-01,95
2017-08-02,82
2017-08-03,57
2017-08-04,50
2017-08-05,66
2017-08-06,55
2017-08-07,63
2017-08-08,68
2017-08-09,59
2017-08-10,54
2017-08-11,56
2017-08-12,68
2017-08-13,87
2017-08-14,100
2017-08-15,96
2017-08-16,82
2017-08-17,80
2017-08-18,78
2017-08-19,72
2017-08-20,70
2017-08-21,69
2017-08-22,74
2017-08-23,70
2017-08-24,68
2017-08-25,70
2017-08-26,60
2017-08-27,53
2017-08-28,60
2017-08-29,73
2017-08-30,72
2017-08-31,78
