Category: All categories

Day,bitcoin: (Worldwide)
2018-10-01,69
2018-10-02,74
2018-10-03,76
2018-10-04,73
2018-10-05,69
2018-10-06,59
2018-10-07,54
2018-10-08,71
2018-10-09,73
2018-10-10,77
2018-10-11,100
2018-10-12,85
2018-10-13,61
2018-10-14,61
2018-10-15,88
2018-10-16,81
2018-10-17,73
2018-10-18,73
2018-10-19,69
2018-10-20,62
2018-10-21,61
2018-10-22,71
2018-10-23,72
2018-10-24,71
2018-10-25,72
2018-10-26,68
2018-10-27,56
2018-10-28,53
2018-10-29,71
2018-10-30,73
2018-10-31,77
