Category: All categories

Day,bitcoin: (Italy)
2017-12-01,34
2017-12-02,29
2017-12-03,25
2017-12-04,25
2017-12-05,30
2017-12-06,45
2017-12-07,69
2017-12-08,66
2017-12-09,46
2017-12-10,53
2017-12-11,100
2017-12-12,76
2017-12-13,55
2017-12-14,46
2017-12-15,41
2017-12-16,41
2017-12-17,42
2017-12-18,43
2017-12-19,46
2017-12-20,52
2017-12-21,39
2017-12-22,81
2017-12-23,58
2017-12-24,47
2017-12-25,46
2017-12-26,39
2017-12-27,38
2017-12-28,34
2017-12-29,30
2017-12-30,29
2017-12-31,27
