Category: All categories

Day,bitcoin: (Italy)
2018-11-01,52
2018-11-02,46
2018-11-03,47
2018-11-04,51
2018-11-05,53
2018-11-06,51
2018-11-07,54
2018-11-08,47
2018-11-09,51
2018-11-10,48
2018-11-11,46
2018-11-12,45
2018-11-13,69
2018-11-14,76
2018-11-15,77
2018-11-16,71
2018-11-17,55
2018-11-18,56
2018-11-19,90
2018-11-20,100
2018-11-21,78
2018-11-22,70
2018-11-23,65
2018-11-24,64
2018-11-25,91
2018-11-26,89
2018-11-27,97
2018-11-28,83
2018-11-29,77
2018-11-30,66
