Category: All categories

Day,bitcoin: (Italy)
2018-01-01,62
2018-01-02,73
2018-01-03,69
2018-01-04,61
2018-01-05,68
2018-01-06,55
2018-01-07,63
2018-01-08,65
2018-01-09,68
2018-01-10,61
2018-01-11,74
2018-01-12,63
2018-01-13,55
2018-01-14,56
2018-01-15,53
2018-01-16,98
2018-01-17,100
2018-01-18,76
2018-01-19,56
2018-01-20,51
2018-01-21,44
2018-01-22,57
2018-01-23,51
2018-01-24,46
2018-01-25,45
2018-01-26,48
2018-01-27,40
2018-01-28,40
2018-01-29,41
2018-01-30,45
2018-01-31,50
