Category: All categories

Day,bitcoin: (Worldwide)
2015-05-01,79
2015-05-02,71
2015-05-03,68
2015-05-04,71
2015-05-05,73
2015-05-06,75
2015-05-07,76
2015-05-08,76
2015-05-09,65
2015-05-10,69
2015-05-11,74
2015-05-12,73
2015-05-13,78
2015-05-14,96
2015-05-15,76
2015-05-16,77
2015-05-17,82
2015-05-18,75
2015-05-19,80
2015-05-20,87
2015-05-21,81
2015-05-22,75
2015-05-23,74
2015-05-24,75
2015-05-25,80
2015-05-26,78
2015-05-27,80
2015-05-28,70
2015-05-29,85
2015-05-30,100
2015-05-31,85
