Category: All categories

Day,bitcoin: (Italy)
2019-02-01,63
2019-02-02,55
2019-02-03,59
2019-02-04,73
2019-02-05,100
2019-02-06,88
2019-02-07,71
2019-02-08,64
2019-02-09,57
2019-02-10,49
2019-02-11,67
2019-02-12,63
2019-02-13,77
2019-02-14,78
2019-02-15,79
2019-02-16,49
2019-02-17,48
2019-02-18,92
2019-02-19,85
2019-02-20,91
2019-02-21,73
2019-02-22,76
2019-02-23,73
2019-02-24,73
2019-02-25,84
2019-02-26,69
2019-02-27,60
2019-02-28,63
