Category: All categories

Day,bitcoin: (Worldwide)
2019-11-01,74
2019-11-02,66
2019-11-03,65
2019-11-04,76
2019-11-05,76
2019-11-06,74
2019-11-07,71
2019-11-08,74
2019-11-09,64
2019-11-10,63
2019-11-11,72
2019-11-12,69
2019-11-13,69
2019-11-14,63
2019-11-15,66
2019-11-16,59
2019-11-17,60
2019-11-18,68
2019-11-19,75
2019-11-20,72
2019-11-21,85
2019-11-22,100
2019-11-23,76
2019-11-24,73
2019-11-25,99
2019-11-26,89
2019-11-27,82
2019-11-28,78
2019-11-29,73
2019-11-30,66
