Category: All categories

Day,bitcoin: (Italy)
2016-05-01,24
2016-05-02,100
2016-05-03,74
2016-05-04,49
2016-05-05,43
2016-05-06,63
2016-05-07,60
2016-05-08,43
2016-05-09,43
2016-05-10,57
2016-05-11,73
2016-05-12,71
2016-05-13,40
2016-05-14,37
2016-05-15,29
2016-05-16,43
2016-05-17,44
2016-05-18,37
2016-05-19,44
2016-05-20,21
2016-05-21,60
2016-05-22,30
2016-05-23,25
2016-05-24,38
2016-05-25,29
2016-05-26,34
2016-05-27,26
2016-05-28,54
2016-05-29,51
2016-05-30,49
2016-05-31,46
