Category: All categories

Day,bitcoin: (Italy)
2019-12-01,67
2019-12-02,75
2019-12-03,72
2019-12-04,86
2019-12-05,70
2019-12-06,78
2019-12-07,63
2019-12-08,66
2019-12-09,60
2019-12-10,79
2019-12-11,60
2019-12-12,75
2019-12-13,72
2019-12-14,74
2019-12-15,62
2019-12-16,61
2019-12-17,87
2019-12-18,83
2019-12-19,100
2019-12-20,88
2019-12-21,61
2019-12-22,75
2019-12-23,84
2019-12-24,88
2019-12-25,92
2019-12-26,72
2019-12-27,65
2019-12-28,84
2019-12-29,68
2019-12-30,75
2019-12-31,70
