Category: All categories

Day,bitcoin: (Worldwide)
2022-06-01,32
2022-06-02,31
2022-06-03,30
2022-06-04,26
2022-06-05,26
2022-06-06,30
2022-06-07,32
2022-06-08,30
2022-06-09,28
2022-06-10,28
2022-06-11,30
2022-06-12,36
2022-06-13,97
2022-06-14,98
2022-06-15,87
2022-06-16,74
2022-06-17,64
2022-06-18,100
2022-06-19,92
2022-06-20,73
2022-06-21,61
2022-06-22,58
2022-06-23,49
2022-06-24,46
2022-06-25,40
2022-06-26,38
2022-06-27,44
2022-06-28,41
2022-06-29,43
2022-06-30,50
