Change,Price,Timestamp
8.64,0.06988430830933053,1689638400
8.64,0.06971655653145997,1689552000
8.64,0.07201386225602147,1689465600
8.64,0.06853871083387324,1689379200
8.64,0.07026574942376085,1689292800
8.64,0.06505387129155865,1689206400
8.64,0.065293694700442,1689120000
8.64,0.06522385257739355,1689033600
8.64,0.06539111339014854,1688947200
8.64,0.06570515611375598,1688860800
8.64,0.06544785155825045,1688774400
8.64,0.0650095507227911,1688688000
8.64,0.06700470199888263,1688601600
8.64,0.06901222939081147,1688515200
8.64,0.06839609834982009,1688428800
8.64,0.06798024361808941,1688342400
8.64,0.06847073380281922,1688256000
8.64,0.0665498740430456,1688169600
8.64,0.06342738403498772,1688083200
8.64,0.06260493242344321,1687996800
8.64,0.0655782242529559,1687910400
8.64,0.06477033964010327,1687824000
8.64,0.06674156996881896,1687737600
8.64,0.06668363190290952,1687651200
8.64,0.0682398018507881,1687564800
8.64,0.06559049235658426,1687478400
8.64,0.06565754886636056,1687392000
8.64,0.06303622698693291,1687305600
8.64,0.06227791505478231,1687219200
8.64,0.06213958102445063,1687132800
8.64,0.062206885693299595,1687046400
8.64,0.062152368848614664,1686960000
8.64,0.061467720213448686,1686873600
8.64,0.06040138942575779,1686787200
8.64,0.06167832354948275,1686700800
8.64,0.0614648921633695,1686614400
8.64,0.061587387404904534,1686528000
8.64,0.06187935896252152,1686441600
8.64,0.06947775232519071,1686355200
8.64,0.06802584609394245,1686268800
8.64,0.06731327147953459,1686182400
8.64,0.07025008025713912,1686096000
8.64,0.06654016592628162,1686009600
8.64,0.07261889880978827,1685923200
8.64,0.07291290046900524,1685836800
8.64,0.07259593832347253,1685750400
8.64,0.071483340658646,1685664000
8.64,0.07163428045543063,1685577600
8.64,0.07236245598388785,1685491200
8.64,0.0732282715405122,1685404800
8.64,0.07396810561730305,1685318400
8.64,0.07401813407960176,1685232000
8.64,0.07146946179802206,1685145600
8.64,0.0711517058088725,1685059200
8.64,0.07122050834739206,1684972800
8.64,0.07301720963499152,1684886400
8.64,0.07311576905228524,1684800000
8.64,0.07281206136552523,1684713600
8.64,0.07469033824447015,1684627200
8.64,0.07363187247408322,1684540800
8.64,0.07358406616019687,1684454400
8.64,0.07488564158589221,1684368000
8.64,0.0727951725228751,1684281600
8.64,0.07235542304114366,1684195200
8.64,0.07423428890714358,1684108800
8.64,0.07405006186215045,1684022400
8.64,0.07258374582426896,1683936000
8.64,0.07239481327322254,1683849600
8.64,0.07336111127316655,1683763200
8.64,0.07318420959019008,1683676800
8.64,0.07249945219009755,1683590400
8.64,0.0772463771122739,1683504000
8.64,0.07701121384451856,1683417600
8.64,0.08028660738781956,1683331200
8.64,0.07853467979092836,1683244800
8.64,0.080032251541775,1683158400
8.64,0.0791574104811186,1683072000
8.64,0.07901617754576791,1682985600
8.64,0.0800574592948594,1682899200
8.64,0.08231475868486936,1682812800
8.64,0.08077427293766012,1682726400
8.64,0.08020611126456663,1682640000
8.64,0.0786615367207834,1682553600
8.64,0.07993369115830491,1682467200
8.64,0.07893257479128181,1682380800
8.64,0.08000931292190024,1682294400
8.64,0.0804750055180154,1682208000
8.64,0.0785294086860642,1682121600
8.64,0.08449538438718046,1682035200
8.64,0.0891707545038138,1681948800
8.64,0.09414612740643204,1681862400
8.64,0.09233976956652179,1681776000
8.64,0.09110295999395192,1681689600
8.64,0.0893877068297277,1681603200
8.64,0.0889081612990062,1681516800
8.64,0.08753476240259192,1681430400
8.64,0.08344851021625105,1681344000
8.64,0.08428953605856714,1681257600
8.64,0.08500963422784955,1681171200
8.64,0.08396152063274837,1681084800
8.64,0.08161051691299208,1680998400
8.64,0.08270797838565552,1680912000
8.64,0.08560993879746275,1680825600
8.64,0.09286570026083608,1680739200
8.64,0.09526689822013445,1680652800
8.64,0.096261759532862,1680566400
8.64,0.07919050111307066,1680480000
8.64,0.082038457339294,1680393600
8.64,0.07717146875432886,1680307200
8.64,0.0742781931867207,1680220800
8.64,0.07566336048234176,1680134400
8.64,0.07391868307262413,1680048000
8.64,0.07296595423354944,1679961600
8.64,0.07454000179770133,1679875200
8.64,0.07419855835658049,1679788800
8.64,0.07466091498836604,1679702400
8.64,0.07753463101467432,1679616000
8.64,0.07416246768641446,1679529600
8.64,0.07683775754358917,1679443200
8.64,0.0718227009565175,1679356800
8.64,0.07509828277384643,1679270400
8.64,0.07339302078619954,1679184000
8.64,0.07655752259668128,1679097600
8.64,0.07259377382502286,1679011200
8.64,0.07008740568438275,1678924800
8.64,0.07477490307773071,1678838400
8.64,0.0731077933323678,1678752000
8.64,0.07054001483531608,1678665600
8.64,0.06645041973748181,1678579200
8.64,0.06597495410888528,1678492800
8.64,0.06607928901629463,1678406400
8.64,0.07130071846492872,1678320000
8.64,0.0739722303975415,1678233600
8.64,0.07490274919815665,1678147200
8.64,0.07482018733972345,1678060800
8.64,0.07484285379726723,1677974400
8.64,0.07691504166478241,1677888000
8.64,0.08063562190499471,1677801600
8.64,0.08194147867420998,1677715200
8.64,0.08103490544591097,1677628800
8.64,0.08132192882211572,1677542400
8.64,0.08221872091792731,1677456000
8.64,0.08062298631694545,1677369600
8.64,0.08090380841723976,1677283200
8.64,0.08428657754254283,1677196800
8.64,0.0853502638080822,1677110400
8.64,0.0855223188338877,1677024000
8.64,0.08824243897603191,1676937600
8.64,0.08744666365797626,1676851200
8.64,0.08917208394387956,1676764800
8.64,0.08778275081448107,1676678400
8.64,0.08565440687583345,1676592000
8.64,0.08903707074732865,1676505600
8.64,0.0836040294328317,1676419200
8.64,0.08197972681519812,1676332800
